SDSS_NAME,RA,DEC,CLASS,SUBCLASS,logR1,logR_ratio,BAL_PROB
141134.83+070251.4,212.8950603,7.0475889689999995,triple,l,1.8166999477521288,-0.15150133215732273,-1.0
115837.70+371916.5,179.65714319999998,37.32127719,core,u,1.9342568975813803,,0.0
112820.04+315316.0,172.08351519999997,31.88777633,double,c,0.9672440087403714,-0.07950290627075943,0.0
114229.55+444724.9,175.6232061,44.79027688,core,u,1.532380288718079,,-1.0
122649.63+102338.1,186.7067763,10.39389757,core,u,2.5101756462800635,,-1.0
080824.07+351416.4,122.10027279999998,35.23791923,jet,,2.818013007133968,,0.0
004159.40-013144.3,10.49747056,-1.5290333619999998,core,u,2.2289017455662745,,-1.0
075335.35+413323.9,118.3970672,41.55653406,core,u,1.8554680329858697,,0.0
111445.33+353837.2,168.6889522,35.64365637,double,c,0.8416415091519482,-0.3874573337539276,-1.0
151258.36+352533.2,228.24321940000002,35.425923600000004,core,u,2.267707927278212,,0.9
161818.98+124111.5,244.5789555,12.68649752,double,l,1.0239660190166375,-0.8593366894975016,-1.0
204440.98+005631.1,311.1708171,0.941838904,core,r,1.298773725804682,,-1.0
092928.22+230250.8,142.36769809999998,23.04740272,core,r,2.3662294109569486,,0.0
132527.11+193209.6,201.3630235,19.53600076,core,u,1.7931619052424852,,0.9
000027.01+030715.5,0.112641666,3.1210639060000003,core,u,2.454817537938628,,0.0
101056.10+013518.9,152.73324780000002,1.588424951,jet,,1.8151688548725644,,-1.0
095920.86+392534.6,149.836988,39.42627661,core,u,1.6853412443617202,,0.0
100812.43+565737.4,152.0519091,56.96034892,core,u,2.3371347815906374,,0.0
150019.08+000249.0,225.07948939999997,0.046927779,core,u,1.2641808020714351,,-1.0
141500.48+145020.9,213.75205780000002,14.83954732,core,r,1.252590374947974,,-1.0
093544.27+481315.1,143.93440690000003,48.22078037,core,u,2.5507243737892606,,0.0
162950.42+474304.6,247.46013419999997,47.71780866,core,u,1.817357066100448,,0.0
100957.26+411052.7,152.4885358,41.18133811,core,u,1.8146504788695708,,0.0
131548.57+565705.0,198.95232190000002,56.95137064,core,u,3.1939055008654447,,0.0
155816.71+475645.5,239.56957180000003,47.94591648,core,r,1.4339950746230143,,0.9
093523.27+240512.3,143.8469941,24.08683628,core,u,3.4306263682428746,,0.9
093009.37+095306.3,142.5390539,9.885069823,core,u,2.011424677193992,,1.0
161121.88+315740.7,242.8412324,31.96129649,core,u,2.0498898951178006,,0.0
151147.16+071406.1,227.94652960000002,7.234986308,core,u,0.5240053552499944,,0.0
104708.07+144557.7,161.7836446,14.76603912,core,r,0.4777169041438569,,-1.0
010155.71-025901.8,15.48211274,-2.983841563,core,u,2.7484844034292197,,0.0
000507.07-013245.1,1.279437545,-1.545924953,core,u,2.2456985627542934,,0.0
142512.69+441707.4,216.3028602,44.28535514,core,u,2.666024064921878,,0.0
121536.41+325012.2,183.90180890000002,32.83677647,core,u,1.8501572148819816,,-1.0
081643.11+394348.9,124.17964199999999,39.73017221,core,u,3.4332384097345967,,-1.0
103017.67+335355.9,157.5737209,33.89886406,core,u,1.4849571762282068,,0.0
095527.94+235516.6,148.8665001,23.921252,core,r,1.6228089225096982,,-1.0
141626.77+323147.0,214.11161260000003,32.52986875,core,u,2.476521770970828,,0.9
090602.63+314255.5,136.5110294,31.71547115,core,u,1.837630875215888,,0.0
081808.32+400522.0,124.5348118,40.08972362,core,r,2.3795786860272368,,0.0
151113.84+490557.4,227.80775380000003,49.09926564,core,u,0.5354507454358242,,-1.0
114230.28+393253.0,175.62621140000002,39.54805888,core,r,2.6101633991114697,,-1.0
025050.63+004503.3,42.71099654,0.751108326,core,u,1.3530261013403393,,0.0
114054.56+264335.0,175.22723269999997,26.72645851,core,u,3.0214831959833406,,0.0
142829.81+202757.2,217.12419049999997,20.465972,core,u,2.447095855155665,,0.0
134949.23-011343.9,207.4550332,-1.22882499,core,u,1.926834375832836,,-1.0
143130.84+233422.2,217.87853019999997,23.57281161,core,u,2.5967208300821443,,0.9
124231.83+230244.6,190.6327281,23.04578909,core,r,3.0555101909867437,,0.0
160054.86+525855.9,240.22858939999998,52.98218037,core,u,2.7597838226265763,,-1.0
102850.75+162315.5,157.2115023,16.38750554,double,c,1.3671970288132058,0.11518340639986296,0.9
104700.54+485104.5,161.7521438,48.85122391,core,u,1.5698014627593109,,0.0
091310.47+365746.1,138.2936678,36.96281179,core,u,2.703368363456856,,-1.0
082209.77+530233.8,125.5408304,53.04274708,triple,l,2.048523272828079,-0.5327074118230382,-1.0
020751.42-031232.5,31.96425396,-3.209147306,core,u,1.3574365669617603,,1.0
103717.72+182303.0,159.3239705,18.38416108,core,u,1.9964338601075184,,0.9
095528.76+572837.2,148.8698469,57.47699126,core,u,2.4507031894736766,,-1.0
130516.05+290923.8,196.31689340000003,29.15662615,core,u,1.7557353480277116,,0.9
165654.35+462341.6,254.22650209999998,46.39472588,core,r,1.6620867161978965,,0.0
021740.96-085447.9,34.42075881,-8.913238919,core,u,0.8088110775164836,,1.0
135036.71+505424.4,207.6530267,50.90681715,core,u,1.1822973668181718,,0.0
110405.26+454421.7,166.0220365,45.73933508,core,u,3.1982369757968327,,-1.0
004207.60+074010.1,10.5316087,7.669458056,core,u,2.0698234903130333,,-1.0
103312.75+403625.9,158.30317140000002,40.60722997,core,u,1.432777309540782,,-1.0
